Start Time,End Time,Assigned,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6,Comments
2014-01-20T20:42:44Z,2014-01-20T20:48:31Z,3," Nicolas Roussel 
",pn264,,"pn1670,pn1227,pn583,pn1635,pn2449,pn1007,pn755,pn2432,pn756,pn2372",,"pn755,pn756,pn2432,pn2372,pn654,pn1916,pn2449,pn583","pn1670,pn183,pn1488,pn1227,pn222,pn1958,pn1936,pn977,pn1883","pn1635,pn1901,pn1007","pn2432,pn755,pn756,pn2449,pn2372,pn654,pn1901","pn1916,pn1958,pn1936,pn1883,pn654,pn222,pn1901,pn183,pn1488,pn977",TRUE,TRUE,"case170,crs153,crs137","crs138,case138,sig118",
2014-01-20T20:43:45Z,2014-01-20T20:48:58Z,2," Kris Luyten 
",pn490,,"pn1123,pn420,pn1333,pn521,pn677,pn1188,pn1514,pn2090,pn2153,pn2225","pn1188,pn1123","pn2153,pn1514,pn1375","pn924,pn1675,pn1347,pn2225,pn1763,pn677,pn558,pn521,pn526","pn180,pn2090,pn763,pn1333,pn420","pn180,pn1675,pn420,pn521,pn1188,crs144,pn558","pn924,pn2095,pn526,pn1375,pn558,pn1763,pn180,pn763,pn1675,pn1347",TRUE,TRUE,"crs123,crs121,crs144","crs122,sig110,crs113",
2014-01-20T20:46:50Z,2014-01-20T20:49:11Z,1,Jeffrey P. Bigham,pn1161,,"pn810,pn1343,pn1237,to107,pn2208,pn526,pn1103,pn2276,pn1514,pn361",pn224,"pn1343,pn1421,pn1503,to137,pn1103,pn2208,pn1237,pn271","pn361,pn2447,pn2276,pn1514","pn2235,pn810,to107,pn806,pn602,pn526,pn150","pn1103,pn2208,pn1237","to137,pn1421,pn150,pn224,pn806,pn2235,pn2447,pn271,pn602,pn1503",TRUE,FALSE,"crs116,crs149,case163","crs111,crs153,sig109",
2014-01-20T20:45:34Z,2014-01-20T20:49:14Z,5, Nicholas Diakopoulos,pn1460,,"pn224,pn576,pn271,pn1333,pn1447,pn2401,pn862,pn1423,pn1646,pn1954","pn1820,pn1503",pn1015,"pn1423,pn1646,pn224,pn2401,pn1954,pn1333,pn271","pn1447,pn862,pn576",,"pn2168,pn1237,pn1820,pn983,pn1503,pn736,pn1485,pn1942,pn1015,pn2447",TRUE,FALSE,"crs143,crs149,crs137","crs123,case170,crs116",
2014-01-20T20:42:29Z,2014-01-20T20:49:16Z,3,,pn147,,"pn330,pn1423,pn1295,pn775,pn796,pn224,pn405,pn1872,pn1262,pn1513",pn330,"pn775,pn405,pn1423,pn1872",,"pn1295,pn1262,pn224,pn1513,pn796","crs137,pn1295,pn405,pn1423,pn330,pn1872","pn1333,pn1558,pn1883,pn2041,pn2031,pn1222,pn794,pn428,pn1587,pn2200",FALSE,FALSE,"crs123,crs137,case150","crs156,crs144,crs147",
2014-01-20T20:43:50Z,2014-01-20T20:49:20Z,1,Chris Norval,pn245,,"pn751,pn1009,pn906,pn1675,pn763,pn941,pn444,pn1264,pn975,pn1923",pn975,"pn1923,pn906,pn1264","pn1632,pn941,pn1482,pn541,pn121,pn1423,pn763,pn845,pn1171","pn739,pn1675,pn714,pn1700,pn1009,pn751,pn444","pn751,pn1700,pn739,crs161","pn714,pn121,pn1171,pn1632,pn845,pn1423,pn1700,pn541,pn739,pn1482",TRUE,TRUE,"crs153,sig103,case163","crs129,crs161,crs121",
2014-01-20T20:45:01Z,2014-01-20T20:49:29Z,1,David K. McGookin,pn1675,,"pn2401,pn897,pn2488,pn728,pn1742,pn558,pn2406,pn1110,pn286,pn1954","pn897,pn2401","pn286,pn1763,pn558,pn2406,pn1954,pn1333,pn975","pn641,pn1821,pn1193,pn1983,pn389,pn1413","pn1110,pn263,pn728,pn1742,pn2488","pn2401,pn2406,pn1110","pn975,pn1333,pn389,pn641,pn1763,pn1193,pn263,pn1983,pn1821,pn1413",TRUE,TRUE,"crs161,crs123,crs153","crs124,sig109,case163",
2014-01-20T20:45:40Z,2014-01-20T20:49:44Z,1,Matthew Mauriello,pn1845,,"pn1579,pn2115,pn1269,pn2274,pn1821,pn1684,pn279,pn2487,pn2168,pn1290","pn2115,pn2168,pn1290,pn2487","pn1684,pn2274","pn1821,pn279,pn1269,pn1579",,"pn2115,pn1579,pn2487,pn2274","pn1377,pn1736,pn884,pn761,pn950,pn1354,pn1182,pn2214,pn1776,pn2293",FALSE,FALSE,"sig114,sig119,crs144","sig105,case150,sig109",
2014-01-20T20:44:34Z,2014-01-20T20:49:45Z,2, Géry Casiez,pn264,,"pn1670,pn1227,pn583,pn1635,pn2449,pn1007,pn755,pn2432,pn756,pn2372",pn2372,"pn1635,pn755,pn2432,pn583","pn1670,pn2449","pn756,pn1227,pn1007","pn2432,pn1227,pn2372","pn1916,pn1958,pn1936,pn1883,pn654,pn222,pn1901,pn183,pn1488,pn977",FALSE,FALSE,"case170,crs153,crs137","crs138,case138,sig118",
2014-01-20T20:46:19Z,2014-01-20T20:49:49Z,4, Moira Norrie,pn205,,"pn586,pn1336,pn1460,pn1776,pn1179,pn104,pn142,pn1200,pn736,pn2096","pn1200,pn1336","pn1776,pn142,pn104","pn736,pn2096","pn1460,pn586,pn1179","pn1336,pn1200,pn1776,pn104","pn1760,pn983,pn1485,pn1081,pn672,pn2168,pn1237,pn2103,pn1503,pn224",FALSE,FALSE,"crs153,crs129,crs108","crs142,crs137,crs113",
2014-01-20T20:46:15Z,2014-01-20T20:50:03Z,4, Pierre Dragicevic,pn1911,,"pn297,pn1034,pn2022,pn1337,pn337,pn2029,pn1081,pn1472,pn1756,pn2041","pn1081,pn1034,pn297","pn337,pn2029",,"pn1756,pn1472,pn2022,pn2041,pn1337","pn297,pn1756","pn966,pn673,pn1225,pn111,pn845,pn164,pn2242,pn288,pn2442,pn796",FALSE,FALSE,"crs143,case163,sig103","crs116,crs137,crs129","I get an error when I click on ""abstract"""
2014-01-20T20:47:30Z,2014-01-20T20:50:12Z,1,David A. Mellis,pn1904,,"pn736,pn1442,pn1225,pn1081,pn529,pn1428,pn967,pn2327,to108,pn2525","pn736,pn1428,pn967,pn529","pn1081,pn1225,pn1442,pn2327","pn2525,to108",,"pn1081,pn529,pn297,pn1225,pn736,pn967,pn1428,pn2327","pn1095,pn1682,pn297,pn443,pn2048,to102,pn2011,pn1264,pn581,pn1667",FALSE,TRUE,"crs143,sig103,sig111","case138,crs147,crs146",
2014-01-20T20:46:15Z,2014-01-20T20:50:13Z,4, Pierre Dragicevic,pn1911,,"pn297,pn1034,pn2022,pn1337,pn337,pn2029,pn1081,pn1472,pn1756,pn2041","pn1081,pn1034,pn297","pn337,pn2029",,"pn1756,pn1472,pn2022,pn2041,pn1337","pn297,pn1756","pn966,pn673,pn1225,pn111,pn845,pn164,pn2242,pn288,pn2442,pn796",FALSE,FALSE,"crs143,case163,sig103","crs116,crs137,crs129","I get an error when I click on ""abstract"""
2014-01-20T20:48:29Z,2014-01-20T20:50:26Z,4, Elizabeth M. Gerber,pn1421,,"pn2235,pn263,pn1503,pn224,to126,pn2208,pn1123,pn2343,pn1237,pn810","pn263,pn2208,pn224,pn1123,pn1237",pn2343,pn810,,"pn2343,pn1123,pn224,pn263,pn2235,pn1503,pn810,pn2208,pn1237,to126","pn1776,pn1161,pn983,pn2225,pn2168,pn150,pn736,pn1343,pn1179,pn1558",FALSE,FALSE,"crs108,crs149,crs143","crs137,crs116,crs102",
2014-01-20T20:44:36Z,2014-01-20T20:50:51Z,1,Amy Voida,pn169,,"pn2489,pn1859,pn2227,pn2160,pn1192,pn737,pn399,pn1549,pn1978,pn1617",,,"pn1617,pn737,pn2054,pn1549,pn1724,pn1976,pn1707,pn2399,pn248,pn399,pn1192,pn2227,pn2226,pn1811,pn2489","pn2160,pn2134,pn1859,pn1978,pn1475",pn1978,"pn2054,pn2226,pn1976,pn1707,pn248,pn1811,pn1724,pn2399,pn2134,pn1475",TRUE,FALSE,"case150,sig111,sig103","sig114,sig119,case138",These are terrible matches. Surely there are other papers about values and design and/or e-government systems at CHI???
2014-01-20T20:49:29Z,2014-01-20T20:51:00Z,3, Devarajan Ramanujan,pn1992,,"pn2343,pn2268,pn1513,to135,pn2128,pn1186,pn385,pn2451,pn228,pn614","pn614,pn2451,pn228,pn1513,pn2343","pn385,pn1186,pn2268",,"to135,pn2128","pn2451,pn1513,pn2343","pn1710,pn183,pn2150,pn2208,pn1558,pn810,pn1635,pn138,pn1488,pn2442",FALSE,FALSE,"crs113,crs147,crs116","crs161,sig107,sig103",
2014-01-20T20:45:39Z,2014-01-20T20:51:25Z,3, Tom Moher,pn1817,,"pn1362,pn1120,pn1182,pn2293,pn2200,pn1290,pn2214,pn2317,pn2284,pn2330","pn1182,pn2214",pn1290,"pn1736,pn1821,pn1362,pn2330,pn1446,pn2317,pn761,pn1120,pn1684,pn2200,pn1354,pn950,pn1377,pn1514","pn2284,pn2293","pn2214,pn1182,pn1362,pn2200","pn1514,pn884,pn761,pn1736,pn1354,pn1377,pn1446,pn950,pn1684,pn1821",TRUE,FALSE,"crs143,crs116,sig103","crs149,crs144,crs122",
2014-01-20T20:46:00Z,2014-01-20T20:51:34Z,1,Jin-Hyuk Hong,pn1969,,"pn2175,pn1426,pn648,pn876,pn1179,to131,pn2010,pn1057,pn233,pn1110",pn648,"pn1110,to131,pn233","pn876,pn1426,pn2010,pn1179,pn2175,pn1057",,"pn233,pn648,pn2175,pn876,crs122,pn1426,pn1110","pn2168,pn1503,pn736,pn116,pn2454,pn1776,pn672,pn621,pn1460,to134",FALSE,FALSE,"sig103,crs122,sig109","crs129,crs143,crs149",
2014-01-20T20:46:28Z,2014-01-20T20:51:56Z,4, Michael Bernstein,pn263,,"pn150,pn286,to137,pn1343,pn525,pn1103,pn1421,pn1818,pn1558,pn641","pn2235,pn1421,pn2225,pn150","pn1343,to137,pn1103,pn1123,pn525","pn641,pn180,pn1818,pn286,pn2525,pn142,pn672,pn2399,pn1558,pn1055",pn1675,"pn2225,to137,pn1123,pn1103,pn2235,pn1421,pn150","pn2225,pn142,pn2235,pn180,pn2399,pn1675,pn672,pn1123,pn2525,pn1055",TRUE,TRUE,"crs153,case118,case173","sig107,crs142,crs157",
2014-01-20T20:47:30Z,2014-01-20T20:52:08Z,3, Ryen W. White,pn1413,,"pn1675,pn1821,pn1760,pn116,pn581,pn431,to129,pn2128,pn1009,pn555",pn1009,pn1821,"pn116,pn1675,pn1760,pn555,pn581,to129","pn431,pn2128","pn1009,pn2128","pn219,pn626,pn1290,pn1071,pn975,pn1298,pn2380,pn2134,pn2417,pn1814",FALSE,FALSE,"crs161,crs123,sig103","crs149,case138,crs116",
2014-01-20T20:51:07Z,2014-01-20T20:52:32Z,2," Michael Correll 
",pn1337,,"pn1316,pn389,pn337,pn1911,pn796,pn845,pn2134,pn2119,pn2442,pn966","pn2119,pn966,pn389,pn2442","pn1316,pn845",,"pn2134,pn337,pn1911,pn796","pn1316,pn966,pn2442","pn2242,pn366,pn164,pn916,pn111,pn1472,pn235,pn138,pn718,pn2105",FALSE,FALSE,"sig105,crs153,crs142","crs116,crs143,crs144",
2014-01-20T20:48:10Z,2014-01-20T20:52:55Z,4," George Fitzmaurice 
",pn142,,"pn428,pn714,pn1007,pn372,pn1488,pn1628,pn1275,pn205,pn1200,pn1936","pn1488,pn372","pn1200,pn428","pn1628,pn1936,pn1275","pn714,pn1007,pn205","pn428,pn1007,pn1200,pn1488,pn205,pn372","pn1225,pn1190,pn1336,pn1776,pn1046,pn739,pn672,pn1482,pn896,pn2112",FALSE,FALSE,"crs153,sig107,case138","crs122,crs138,sig114",
2014-01-20T20:51:28Z,2014-01-20T20:53:00Z,2,,pn1183,,"pn1034,pn241,pn122,pn1579,pn1709,pn2277,pn1626,pn1758,pn1569,pn1586","pn1034,pn241,pn122,pn1626,pn1709,pn1579,pn2277",,pn1586,"pn1758,pn1569","pn1034,sig117,pn1579,pn241,pn1758,pn122,pn2277,pn1626","pn541,pn2084,pn2003,pn2020,pn547,pn2046,pn737,pn1949,pn941,to114",FALSE,FALSE,"crs108,sig117,crs153","crs129,case163,crs160",
2014-01-20T20:50:53Z,2014-01-20T20:53:02Z,3,,pn1337,,"pn1316,pn389,pn337,pn1911,pn796,pn845,pn2134,pn2119,pn2442,pn966","pn966,pn389","pn2119,pn337,pn1316,pn845,pn2442",,"pn2134,pn1911,pn796","pn1316,pn796,pn2119,pn337,pn966,pn2442,pn389","pn2242,pn366,pn164,pn916,pn111,pn1472,pn235,pn138,pn718,pn2105",FALSE,FALSE,"sig105,crs153,crs142","crs116,crs143,crs144",
2014-01-20T20:47:52Z,2014-01-20T20:53:08Z,3," Erin T. 
Solovey",pn1471,,"pn1222,pn366,pn1099,pn1488,pn183,pn673,pn648,pn222,pn1514,pn2031","pn183,pn2031,pn366,pn648","pn1488,pn673,pn1099",pn1222,"pn222,pn1514","pn648,pn366,pn183","pn1007,pn1883,pn794,pn389,pn654,pn718,pn428,pn1351,pn1473,pn425",TRUE,TRUE,"crs122,crs138,crs111","sig103,case138,crs143",
2014-01-20T20:47:21Z,2014-01-20T20:53:13Z,4," 
Scott Bateman",pn1901,,"pn330,pn755,pn1183,pn683,pn2010,pn2330,pn2046,pn1518,pn2317,pn799","pn755,pn1183,pn2046","pn2317,pn683,pn799,pn1518","pn330,pn2010",pn2330,"pn683,pn755,pn1183,pn330","pn532,pn2119,pn2277,pn264,pn241,pn2084,pn1987,pn139,pn756,pn2022",TRUE,FALSE,"crs108,sig117,crs121","case138,crs116,crs153",
2014-01-20T20:50:53Z,2014-01-20T20:53:38Z,2, Gregor Miller,pn796,,"pn1558,pn1337,pn189,pn1872,pn147,pn224,pn845,pn1587,pn2268,pn692","pn1872,pn224,pn147,pn1558",pn1587,"pn189,pn692,pn845","pn2268,pn1337","pn1337,pn1558,pn147,pn224,pn1872","pn1987,pn1333,pn1911,pn1635,pn337,pn1472,pn183,pn288,pn2442,pn2200",FALSE,FALSE,"crs123,crs116,crs122","crs105,crs101,crs149",
2014-01-20T20:50:52Z,2014-01-20T20:53:51Z,1,Kasper Hornbæk,pn292,,"pn455,pn139,pn164,pn171,pn838,pn750,pn1071,pn345,pn1417,pn361",pn164,pn838,"pn119,pn139,pn1295,pn361,pn426,pn1425,pn1071,pn1092,pn1351,pn1238,pn345","pn897,pn455,pn1227,pn171,pn750,pn601,pn1417",,"pn601,pn897,pn1227,pn1238,pn1295,pn1351,pn1092,pn426,pn1425,pn119",TRUE,TRUE,"crs100,crs111,crs123","crs143,case138,crs153",
2014-01-20T20:47:47Z,2014-01-20T20:53:53Z,2, Anthony Whitehead,pn2003,,"pn2293,pn2277,pn235,pn2487,pn799,pn1736,pn1171,pn2084,pn1684,pn1183","pn1171,pn799","pn235,pn737,pn1183,pn122,pn1684,pn2277","pn1736,pn1758,pn1188,pn1442,pn1269,pn2293,pn111,pn2487,pn683","pn1015,pn876,pn2084","pn1171,pn235,pn683,pn799,pn2487,pn737,pn1183,crs108,crs160,pn2277","pn1269,pn876,pn111,pn1015,pn1188,pn737,pn1442,pn122,pn683,pn1758",TRUE,TRUE,"sig117,crs108,crs122","crs138,crs142,crs160",
2014-01-20T20:51:47Z,2014-01-20T20:54:06Z,1,,pn2048,,"pn1268,pn999,pn586,pn2129,pn2011,pn2220,pn2140,pn1442,pn758,pn1642","pn2129,pn999","pn758,pn2140,pn1268,pn1642",,"pn1442,pn2220,pn2011,pn586","pn999,pn1642,pn2129,pn2140","pn581,pn2193,pn1190,pn1034,pn189,pn1710,pn1667,pn1452,pn810,pn1095",FALSE,FALSE,"crs143,crs116,crs113","crs157,crs108,crs149",
2014-01-20T20:52:16Z,2014-01-20T20:54:17Z,3,,pn464,,"pn583,pn425,pn525,pn983,pn1865,pn1099,pn1337,pn2157,pn264,pn2022",,pn583,"pn983,pn1099,pn2157,pn1337","pn425,pn264,pn2022,pn1865,pn525","pn583,pn2022","pn755,pn2464,pn589,pn428,pn1200,pn654,pn2372,pn389,pn2003,pn2041",FALSE,FALSE,"crs157,crs122,crs153","crs108,crs111,case115",
2014-01-20T20:50:47Z,2014-01-20T20:54:27Z,1,Aron Culotta,pn1009,,"pn1814,pn763,pn2284,pn1413,pn1036,pn150,pn802,pn751,pn677,pn1330","pn1036,pn2284,pn1413,pn150","pn677,pn1814,pn1330,pn802",,"pn763,pn751","pn1413,pn802","pn2488,pn1298,pn887,pn2074,pn1347,pn2274,pn2225,pn245,pn1236,pn1255",FALSE,FALSE,"crs149,sig111,crs129","crs158,crs102,crs161",
2014-01-20T20:47:37Z,2014-01-20T20:54:28Z,1,Lixiu Yu,pn2208,,"pn2343,pn1503,pn2235,pn1421,pn1123,pn1161,pn1264,pn1343,pn1442,pn1710","pn2235,pn1421","pn1123,pn1161,pn1710","pn1343,pn1264,pn1442,pn1503",pn2343,"pn2343,pn1442,pn1161,pn1421,pn1710","pn2268,pn263,pn150,pn1675,pn802,pn810,pn1763,pn1558,pn1992,pn763",FALSE,FALSE,"crs116,crs101,sig111","sig105,crs147,case138",
2014-01-20T20:51:34Z,2014-01-20T20:54:37Z,10,,pn2227,,"pn1399,pn191,pn1454,pn757,pn2005,pn1724,pn2094,pn1097,pn2090,pn1976",,"pn757,pn2005,pn1976,pn191,pn1097,pn1399","pn2094,pn1454","pn1724,pn2090","pn1097,pn757,pn1724,pn1399,pn191,pn2005","pn1811,pn1992,pn737,pn1488,pn2399,pn2112,pn897,pn399,pn2380,pn1776",FALSE,FALSE,"sig109,crs157,case163","crs122,crs116,crs149",
2014-01-20T20:49:29Z,2014-01-20T20:54:55Z,4, Leah Findlater,pn714,,"pn222,pn1448,pn739,pn845,pn2001,pn1482,pn1171,pn2115,pn2112,pn208","pn739,pn1482,pn2001","pn2112,pn2115,pn222,pn208",pn845,"pn1448,pn1171","pn2112,pn739,pn222,pn1482,pn2001","pn1423,pn372,pn1264,pn1704,pn164,pn541,pn1700,pn1800,pn245,pn142",FALSE,FALSE,"crs144,crs129,crs153","sig109,crs137,crs116",
2014-01-20T20:51:19Z,2014-01-20T20:55:05Z,1,Yang Wang,pn2463,,"pn1425,pn897,pn2525,pn751,pn1099,pn2112,pn180,pn2483,pn2159,pn1776",,"pn1776,pn2112,pn897,pn2525,pn751,pn2483,pn2159","pn180,pn1425,pn1099",,"pn897,pn751,pn2483,pn2159,pn1776,pn2525","pn590,pn1525,pn1901,pn2128,pn785,pn2380,pn1488,pn763,pn1646,pn2202",FALSE,FALSE,"crs123,crs129,crs149","crs157,crs124,crs153",
2014-01-20T20:52:23Z,2014-01-20T20:55:19Z,3," 
Stefan Schneegass",pn1275,,"pn672,pn142,pn1818,pn1932,pn1806,pn1269,pn2202,pn2084,pn1834,pn435","pn1818,pn1269","pn435,pn142,pn672,pn2084","pn1932,pn1806,pn1834",pn2202,"pn1818,pn1269,pn672","pn1020,pn847,pn1675,pn122,pn2041,pn1865,pn2472,pn1182,pn1428,pn1188",FALSE,FALSE,"crs153,sig117,crs123","sig107,sig103,sig114",
2014-01-20T20:52:16Z,2014-01-20T20:55:27Z,2," Michael S. 
Bernstein",pn271,,"pn224,pn664,pn1179,pn2103,pn1237,pn2096,pn2447,pn1161,pn1460,pn1503",pn224,"pn1503,pn1103,pn1237,pn2447,pn1161,pn664","pn1776,pn1460,pn2168,pn983,pn205,pn1316,pn2103,pn806,pn1179,pn586,pn602","pn1485,pn2096","pn224,pn1503,pn1161,pn1237","pn1485,pn983,pn586,pn602,pn1103,pn1316,pn2168,pn806,pn205,pn1776",TRUE,TRUE,"case138,sig103,crs102","crs129,crs113,crs144",
2014-01-20T20:51:07Z,2014-01-20T20:55:27Z,3, Emanuel von Zezschwitz,pn757,,"pn2175,pn2227,pn1724,pn191,pn785,pn589,pn1399,pn1628,pn2090,pn1097",,"pn2090,pn2227","pn589,pn1628,pn2175","pn1724,pn785,pn191","pn1097,pn2227,pn785,pn1399,pn2090,pn191","pn1092,pn1007,pn2005,pn248,pn643,pn297,pn2226,pn1057,pn2094,pn1916",FALSE,FALSE,"crs156,crs122,sig109","crs138,crs147,crs153",
2014-01-20T20:46:10Z,2014-01-20T20:55:46Z,1,John Downs,pn139,,"pn1238,pn1987,pn111,pn1099,pn799,pn420,pn2202,pn1034,pn601,pn1901","pn2202,pn1099","pn683,pn2084,pn1987,pn799,pn2277","pn1034,pn905,pn1758,pn455,pn1227,pn1092,pn111,pn345","pn1901,pn241,pn601,pn1238,pn420","pn1099,pn683,pn2202","pn241,pn345,pn1227,pn455,pn1758,pn2084,pn683,pn905,pn2277,pn1092",TRUE,TRUE,"crs157,crs108,crs106","sig117,crs129,crs115",
2014-01-20T20:52:48Z,2014-01-20T20:56:05Z,1,Clifton Forlines,pn150,,"pn2208,to137,pn514,pn1009,pn263,pn1103,pn526,pn2225,pn1982,pn180","pn263,pn1103,pn2208","pn514,pn2225,pn1009",,"pn180,to137,pn1982,pn526","pn1103,pn263,pn2208","pn1343,pn1763,pn340,pn1123,pn763,pn1255,pn924,pn1014,pn1161,pn1558",FALSE,FALSE,"crs123,crs129,crs142","sig118,crs102,crs158",
2014-01-20T20:44:10Z,2014-01-20T20:56:09Z,1,Jussi Ville. Mikkonen,pn505,,"pn1707,pn1448,pn222,pn1081,pn205,pn2327,to106,pn589,pn983,pn672","pn1081,pn1448,pn2327",,"pn589,pn1485,pn239,pn1460,pn2168,pn1503,pn983,to106,pn672,pn224,pn2447,pn1237","pn222,pn1316,pn1707,pn104","pn1081,pn1448,pn2327","pn1316,pn224,pn1485,pn1503,pn1460,pn104,pn1237,pn2447,pn239,pn2168",TRUE,FALSE,"crs144,crs115,crs153","crs147,crs122,crs111",
2014-01-20T20:53:29Z,2014-01-20T20:56:14Z,1,Erin Solovey,pn648,,"pn183,pn1579,pn233,pn1987,pn673,pn1471,to131,pn1969,pn366,pn1336","pn1969,pn1471,pn233","pn183,pn366,pn673,to131",pn1579,pn1987,"pn233,pn1471,pn366,pn183","pn208,pn1110,pn2442,pn1099,pn1635,pn654,pn2031,pn621,pn288,pn2420",FALSE,FALSE,"case138,crs122,crs143","sig103,case115,crs146",
2014-01-20T20:49:15Z,2014-01-20T20:56:17Z,3, Kris Luyten,pn2041,,"pn313,pn1911,pn2084,pn1200,pn343,pn2150,pn1186,pn1883,pn385,pn1756","pn385,pn2150,pn1883,pn1186,pn313","pn343,pn672,pn1911,pn2084,pn1756,pn1007","pn1242,pn2454,pn428,pn2464","pn1200,pn2487,pn425,pn977,pn1513","pn1007,pn977,pn1200,pn1186,pn385,pn672,pn1756,pn1911,pn1883,pn2150,pn343,pn313","pn2454,pn977,pn2464,pn425,pn1007,pn1242,pn2487,pn672,pn428,pn1513",TRUE,TRUE,"case150,crs153,crs137","case118,crs116,case176",
